Category,Message
spam,Special offer! VOUCHER awaits you! Send STOP to 08574595012 to unsubscribe.
ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
ham,"K so am I, how much for an 8th? Fifty?"
ham,Ok. She'll be ok. I guess
spam,WINNER! Claim your offer worth £725! Send STOP to 09727128907 to unsubscribe.
ham,K I'll be there before 4.
spam,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p"
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
spam,Exclusive xbox offer! Get your free gift card now! Click here: www.freegift.tv to get your reward!
ham,Yes baby! We can study all the positions of the kama sutra ;)
ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel
spam,WINNER! Claim your urgent worth £258! Send STOP to 09041353642 to unsubscribe.
ham,How long does applebees fucking take
ham,No message..no responce..what happend?
ham,Thts god's gift for birds as humans hav some natural gift frm god..
ham,Booked ticket for pongal?
spam,Get your limited today! Text VIWH to 09217271244 for a chance to win £1199!
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.
ham,Do we have any spare power supplies
spam,Get your prize today! Text DC7G to 09515588667 for a chance to win £1982!
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
ham,Ok lor Ã¼ reaching then message me.
spam,You've been selected for a winner! Call 09484947398 to claim now! T&Cs apply.
ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.
ham,I walked an hour 2 c u! doesnÂt that show I care y wont u believe im serious?
ham,"Haha good to hear, I'm officially paid and on the market for an 8th"
ham,"Its ok chikku, and its my 1 of favourite song..:-)"
ham,Dad says hurry the hell up
spam,Special offer! CAMERA awaits you! Text 6898 to 08447961640 to receive your prize!
ham,Teach me apps da. When you come to college.
ham,Yeah that's the impression I got
ham,Both :) i shoot big loads so get ready!
ham,Im done. Just studyn in library
ham,"[â¦] anyway, many good evenings to u! s"
spam,Special offer! SUBSCRIBE awaits you! Visit www.claimnow.net to claim your prize!
ham,Enjoy ur life. . Good night
ham,Dont worry. I guess he's busy.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
ham,Ok good then i later come find Ã¼... C lucky i told Ã¼ to go earlier... Later pple take finish Ã¼ no more again...
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
ham,Company is very good.environment is terrific and food is really nice:)
ham,I always chat with you. In fact i need money can you raise me?
spam,You've been selected for a bonus! Call 08194452026 to claim now! T&Cs apply.
ham,Ã no home work to do meh...
spam,You've been selected for a urgent! Call 08548568275 to claim now! T&Cs apply.
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
spam,Get your win today! Text UYNP to 08086899134 for a chance to win £604!
ham,How much i gave to you. Morning.
ham,Can come my room but cannot come my house cos my house still messy... Haha...
ham,Erm. I thought the contract ran out the4th of october.
spam,You have 1 new message. Please call 08715205273
spam,Free gift! Subscribe now to get your reward! Send STOP to 09372819492 to unsubscribe.
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt;
ham,A bloo bloo bloo I'll miss the first bowl
ham,Anything...
ham,Dude got a haircut. Now its breezy up there
spam,URGENT! This is the 2nd attempt to contact U!U have WON Â£1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxÂ£7. 50
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
ham,I dunno until when... Lets go learn pilates...
ham,Yes:)here tv is always available in work place..
ham,Okie
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
spam,Special offer! WIN awaits you! Send STOP to 08903559598 to unsubscribe.
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
ham,Me too! Have a lovely night xxx
spam,Get your sony today! Text 47WN to 08986418916 for a chance to win £1371!
spam,Congratulations! You've won a voucher! Text WIN to 09144750105 for your chance to win!
ham,I had askd u a question some hours before. Its answer
spam,Free camera! Subscribe now to get your reward! Text WIN to 08393067723 for your chance to win!
ham,Also hi wesley how've you been
ham,Which channel:-):-):):-).
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,You'd like that wouldn't you? Jerk!
spam,Free discount! Subscribe now to get your reward! Call now on 09033844149 to claim!
ham,No problem. How are you doing?
ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
ham,How will I creep on you now? ;_;
ham,I am not at all happy with what you saying or doing
ham,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
spam,"WINNER! Claim your playstation worth £610! Hurry, offer ends soon! Call 08493151653."
ham,Ya but it cant display internal subs so i gotta extract them
spam,Congratulations! You've won a sony! Send STOP to 08096956783 to unsubscribe.
ham,Okie
spam,Get your award today! Text 6P80 to 08504952433 for a chance to win £1131!
ham,Did u find out what time the bus is at coz i need to sort some stuff out.
ham,"Jay wants to work out first, how's 4 sound?"
spam,WINNER! Claim your sony worth £506! Text WIN to 08778821652 for your chance to win!
ham,Love it! The girls at the office may wonder why you are smiling but sore...
ham,"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*"
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
ham,When did dad get back.
spam,"Congratulations - Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
spam,You've been selected for a award! Call 08071161258 to claim now! T&Cs apply.
spam,WINNER! Claim your deal worth £317! Reply YES to join now!
spam,Special offer! SPECIAL awaits you! Visit www.winyourprize.co.uk to claim your prize!
ham,Understand. his loss is my gain :) so do you work? School?
spam,"URGENT! You're eligible for a special of £2096! Hurry, offer ends soon! Call 09837650093."
ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read..."
ham,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
ham,I not busy juz dun wan 2 go so early.. Hee..
ham,Boo what time u get out? U were supposed to take me shopping today. :(
ham,Hi' Test on  &lt;#&gt; rd ....
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
spam,Congratulations ur awarded either Â£500 of CD gift vouchers & Free entry 2 our Â£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
ham,here is my new address -apples&pairs&all that malarky
ham,"K, can I pick up another 8th when you're done?"
ham,Then mum's repent how?
spam,Special offer! WINNER awaits you! Text WIN to 08226955987 for your chance to win!
ham,"I prefer my free days... Tues, wed, fri oso can... Ã ask those workin lor..."
ham,"As usual..iam fine, happy &amp; doing well..:)"
ham,What happened in interview?
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
ham,"Ya tel, wats ur problem.."
ham,"Its ok., i just askd did u knw tht no?"
ham,Hahaha..use your brain dear
spam,You've been selected for a free! Call 09743860914 to claim now! T&Cs apply.
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
spam,WINNER! Claim your sony worth £742! Call now on 08667649071 to claim!
ham,Happy new years melody!
ham,:( but your not here....
spam,Exclusive exclusive offer! Get your free phone now! Visit www.claimnow.net to claim your prize!
ham,I dont thnk its a wrong calling between us
spam,You've been selected for a bonus! Call 08969713339 to claim now! T&Cs apply.
ham,Wat r u doing now?
ham,Just sent it. So what type of food do you like?
spam,"URGENT! You're eligible for a discount of £4747! Hurry, offer ends soon! Call 08882656813."
ham,As usual u can call me ard 10 smth.
ham,You busy or can I come by at some point and figure out what we're doing tomorrow
spam,74355 XMAS iscoming & ur awarded either Â£500 CD gift vouchers & free entry 2 r Â£100 weekly draw txt MUSIC to 87066 TnC
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
ham,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:)
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
spam,Free exclusive! Subscribe now to get your reward! Call now on 09052436478 to claim!
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
ham,Yes..gauti and sehwag out of odi series.
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
spam,You've been selected for a ringtone! Call 08818037637 to claim now! T&Cs apply.
ham,Oh ya ya. I remember da. .
ham,No problem with the renewal. I.ll do it right away but i dont know his details.
spam,Exclusive win offer! Get your free gift card now! Visit www.getfreestuff.com to claim your prize!
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
ham,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.
ham,Yo come over carlos will be here soon
ham,Is that on the telly? No its Brdget Jones!
ham,We can go 4 e normal pilates after our intro...
spam,WINNER! Claim your xbox worth £650! Visit www.winyourprize.co.uk to claim your prize!
spam,You've been selected for a membership! Call 08606597306 to claim now! T&Cs apply.
spam,Special offer! SUBSCRIBE awaits you! Reply YES to join now!
spam,"WINNER! Claim your ringtone worth £225! Hurry, offer ends soon! Call 09828757783."
ham,"He will, you guys close?"
ham,â¦ and donât worry weâll have finished by march â¦ ish!
spam,URGENT! You're eligible for a ringtone of £3954! Click here: www.getfreestuff.com to get your reward!
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
ham,Shall i start from hear.
spam,Exclusive special offer! Get your free gift card now! Text GTGV to 09916368988 to receive your prize!
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,Somebody set up a website where you can play hold em using eve online spacebucks
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,Oic... I saw him too but i tot he din c me... I found a group liao...
spam,Exclusive membership offer! Get your free phone now! Call now on 08007271041 to claim!
ham,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
ham,I know girls always safe and selfish know i got it pa. Thank you. good night.
ham,Yo im right by yo work
ham,Dont know you bring some food
ham,Did u got that persons story
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
spam,Exclusive exclusive offer! Get your free holiday now! Reply YES to join now!
ham,I'm okay. Chasing the dream. What's good. What are you doing next.
ham,I've reached home finally...
spam,URGENT! You're eligible for a award of £309! Reply YES to join now!
ham,Ok c Ã¼ then.
spam,URGENT! You're eligible for a congratulations of £634! Text WIN to 08573385873 for your chance to win!
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.
ham,I know that my friend already told that.
spam,Get your deal today! Text 7F44 to 09434825396 for a chance to win £1048!
ham,Hope you are feeling great. Pls fill me in. Abiola
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
ham,I had askd u a question some hours before. Its answer
ham,Thanks for ve lovely wisheds. You rock
spam,Special offer! PRIZE awaits you! Text 462H to 09878363757 to receive your prize!
spam,"URGENT! You're eligible for a call now of £1093! Hurry, offer ends soon! Call 09475723273."
ham,Hows the pain dear?y r u smiling?
spam,Exclusive claim offer! Get your free gift card now! Text WIN to 09831901554 for your chance to win!
ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins"
spam,Exclusive text back offer! Get your free holiday now! Call now on 09462128936 to claim!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
spam,Get your winner today! Text QTG5 to 08124212702 for a chance to win £824!
spam,Congratulations! You've won a cash! Text WIN to 09123063878 for your chance to win!
spam,Congratulations! You've won a win! Text 8JG0 to 09809800600 to receive your prize!
ham,You sure your neighbors didnt pick it up
spam,Get your sony today! Text CZGD to 09451002521 for a chance to win £667!
spam,You've been selected for a nokia! Call 08552409897 to claim now! T&Cs apply.
ham,Roger that. Weâre probably going to rem in about 20
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
ham,Poor girl can't go one day lmao
ham,I want to go to perumbavoor
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,Ok then i will come to ur home after half an hour
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?"
ham,"That's the trouble with classes that go well - you're due a dodgey one â¦ Expecting mine tomo! See you for recovery, same time, same place"
spam,Congratulations! You've won a deal! Call now on 08168204178 to claim!
spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
ham,Ok.
ham,What time. Iâm out until prob 3 or so
ham,yay! finally lol. i missed our cinema trip last week :-(
ham,What time is ur flight tmr?
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
ham,"Sir, i am waiting for your call."
spam,Exclusive bonus offer! Get your free phone now! Send STOP to 09696951915 to unsubscribe.
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or Â£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
ham,Have you bookedthe hut? And also your time off? How are you by the way?
ham,In sch but neva mind u eat 1st lor..
ham,Nope i'll come online now..
ham,Customer place i will call you.
ham,"Like  &lt;#&gt; , same question"
ham,Yup bathe liao...
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, CostÂ£1.50/pm, Max10mins"
spam,Free voucher! Subscribe now to get your reward! Text WIN to 09728537627 for your chance to win!
ham,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!
ham,Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
spam,Congratulations! You've won a playstation! Text 1YKR to 08743875077 to receive your prize!
ham,Was the farm open?
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,If you r @ home then come down within 5 min
spam,Congratulations! You've won a cash! Call now on 08335399712 to claim!
ham,Sat right? Okay thanks...
spam,URGENT! You're eligible for a award of £860! Text OUK4 to 09399310148 to receive your prize!
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
ham,Also andros ice etc etc
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
spam,Congratulations! You've won a ringtone! Reply YES to join now!
spam,URGENT! You're eligible for a deal of £562! Click here: www.claimnow.net to get your reward!
ham,"By the way, 'rencontre' is to meet again. Mountains dont...."
ham,I know you mood off today
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX
spam,Get your special today! Text WFFH to 08889703709 for a chance to win £1194!
ham,gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number.
spam,URGENT! You're eligible for a xbox of £2394! Send STOP to 08496434199 to unsubscribe.
ham,"Sorry my roommates took forever, it ok if I come by now?"
spam,You've been selected for a mobile! Call 08066019811 to claim now! T&Cs apply.
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
ham,What was she looking for?
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
ham,Pls speak with me. I wont ask anything other then you friendship.
ham,Goodnight da thangam I really miss u dear.
spam,WINNER! Claim your cash worth £575! Click here: www.getfreestuff.com to get your reward!
spam,Congratulations! You've won a text back! Visit www.winyourprize.co.uk to claim your prize!
ham,Are you willing to go for aptitude class.
ham,The bus leaves at  &lt;#&gt;
ham,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)"
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
spam,Free voucher! Subscribe now to get your reward! Reply YES to join now!
spam,Get your limited today! Text 9Z9H to 08912567283 for a chance to win £858!
spam,You've been selected for a winner! Call 08046155711 to claim now! T&Cs apply.
ham,What's up. Do you want me to come online?
spam,Win a Â£1000 cash prize or a prize worth Â£5000
ham,Oh k. . I will come tomorrow
spam,WINNER! Claim your congratulations worth £905! Click here: www.getfreestuff.com to get your reward!
ham,Printer is cool. I mean groovy. Wine is groovying
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
spam,Get your congratulations today! Text WBQ2 to 08363517504 for a chance to win £1949!
ham,Ok cool. See ya then.
ham,Arun can u transfr me d amt
spam,"Congratulations! Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
ham,Ugh fuck it I'm resubbing to eve
spam,WINNER! Claim your mobile worth £449! Text WIN to 08336158599 for your chance to win!
ham,Thanx a lot 4 ur help!
spam,URGENT! You're eligible for a cash of £1687! Call now on 08519185283 to claim!
ham,"Sorry, I'll call later"
spam,"U can WIN Â£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
spam,Get your free today! Text MXAE to 08118501406 for a chance to win £1666!
spam,"Congratulations! You've won a limited! Hurry, offer ends soon! Call 09472957313."
spam,Special offer! RINGTONE awaits you! Visit www.getfreestuff.com to claim your prize!
ham,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
ham,Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!
ham,I am waiting machan. Call me once you free.
ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
spam,Get your win today! Text 034D to 09576427191 for a chance to win £1381!
ham,If You mean the website. Yes.
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
spam,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY Â£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone
spam,Get your voucher today! Text 465H to 09536220992 for a chance to win £1736!
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
spam,Get your limited today! Text HFVE to 08595980356 for a chance to win £591!
ham,"Sorry, I'll call you  later. I am in meeting sir."
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
ham,Beerage?
ham,"Goodnight, sleep well da please take care pa. Please."
spam,Free claim! Subscribe now to get your reward! Visit www.specialoffers.com to claim your prize!
ham,Ok i shall talk to him
ham,I am taking half day leave bec i am not well
ham,Yes.he have good crickiting mind
ham,am up to my eyes in philosophy
ham,Daddy will take good care of you :)
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
ham,There the size of elephant tablets & u shove um up ur ass!!
ham,Friends that u can stay on fb chat with
ham,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother
ham,"I'm a guy, browsin is compulsory"
spam,Special offer! OFFER awaits you! Text WIN to 08244474097 for your chance to win!
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a Â£150 prize. To collect is easy. Just call 09061743386
ham,U ned to convince him tht its not possible witot hurting his feeling its the main
ham,"Sir, waiting for your letter."
ham,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
spam,You've been selected for a prize! Call 08474996939 to claim now! T&Cs apply.
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx"
ham,Normally i use to drink more water daily:)
ham,I need details about that online job.
spam,"URGENT! You're eligible for a exclusive of £1657! Hurry, offer ends soon! Call 08611288203."
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
spam,"Exclusive sony offer! Get your free holiday now! Hurry, offer ends soon! Call 08292866204."
spam,"URGENT! Your mobile number *************** WON a Â£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
spam,Get your discount today! Text SKUF to 09918842072 for a chance to win £519!
spam,URGENT! You're eligible for a urgent of £4579! Text WIN to 08303812388 for your chance to win!
ham,Please da call me any mistake from my side sorry da. Pls da goto doctor.
ham,I am going to sao mu today. Will be done only at 12
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
spam,Get your voucher today! Text B7NG to 08873529795 for a chance to win £863!
spam,"Exclusive sony offer! Get your free gift card now! Hurry, offer ends soon! Call 08397894043."
ham,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
ham,Draw va?i dont think so:)
spam,Get your download today! Text D5MP to 09063296793 for a chance to win £1750!
ham,U too...
spam,Free gift! Subscribe now to get your reward! Send STOP to 09495359853 to unsubscribe.
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
ham,what number do u live at? Is it 11?
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
spam,WINNER! Claim your membership worth £927! Text WIN to 08916014293 for your chance to win!
ham,But pls dont play in others life.
spam,URGENT! You're eligible for a special of £1612! Visit www.freegift.tv to claim your prize!
ham,"Not much, just some textin'. How bout you?"
ham,"Until 545 lor... Ya, can go 4 dinner together..."
spam,Get your claim today! Text LVUI to 09088895657 for a chance to win £719!
spam,You've been selected for a sony! Call 08024840194 to claim now! T&Cs apply.
ham,Boooo you always work. Just quit.
ham,You are a big chic. Common. Declare
ham,Welp apparently he retired
ham,YO YO YO BYATCH WHASSUP?
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
ham,Ugh I don't wanna get out of bed. It's so warm.
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
ham,Yes princess! I want to catch you with my big strong hands...
spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
ham,Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx
spam,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
spam,URGENT! You're eligible for a free of £724! Call now on 09981366464 to claim!
ham,Please leave this topic..sorry for telling that..
ham,Bognor it is! Should be splendid at this time of year.
spam,URGENT! You're eligible for a award of £3574! Call now on 09396976249 to claim!
ham,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?
spam,"Free gift! Subscribe now to get your reward! Hurry, offer ends soon! Call 08943413912."
spam,Exclusive download offer! Get your free gift card now! Send STOP to 08636059180 to unsubscribe.
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
spam,Special offer! DEAL awaits you! Call now on 09009229048 to claim!
ham,Thanks for this hope you had a good day today
ham,S:)8 min to go for lunch:)
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. .."
spam,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
ham,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier."
ham,Am going to take bath ill place the key in window:-)
ham,No i am not having not any movies in my laptop
spam,You've been selected for a congratulations! Call 09352321861 to claim now! T&Cs apply.
spam,Special offer! EXCLUSIVE awaits you! Reply YES to join now!
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.
